id,prefix,question,golden_code,answer,unit,answer_normalized
DT055,DT,"At three vertices of a square with side length a = 40cm, three equal positive point charges (q1 = q2 = q3 = 5 x 10^-9 C) are placed. What is the magnitude of the electric field vector at the fourth vertex of the square?","import math
# Given
a = 40e-2 # side length (m)
q = 5e-9  # charge at 3 vertices (C)
k = 9e9

# E fields at the 4th vertex from the two adjacent charges
E1 = k * abs(q) / (a**2)
E2 = k * abs(q) / (a**2)
# E field from the opposite diagonal charge
d_diagonal = math.sqrt(2) * a
E3 = k * abs(q) / (d_diagonal**2)

# E1 and E2 are perpendicular. Their sum is E12 along the diagonal.
E12 = math.sqrt(E1**2 + E2**2)
# E3 is also along the diagonal, same direction as E12
E_total = E12 + E3
final_result = E_total",538,N/C,538
DT075,DT,"Consider two wide parallel insulating sheets with identical surface charge densities of σ. The distance between them is very small compared to their dimensions. What is the magnitude of the electric field at a point located between the two sheets, given that σ = 8.85 × 10^-6 C/m^2?","sigma = 8.85e-6  # Surface charge density in C/m^2
epsilon_0 = 8.85e-12  # permittivity of free space

# The electric field due to an infinite sheet of charge is given by E = σ / (2 * ε_0)
# Since there are two sheets, the fields add up if they are in the same direction.
# Here, we assume they are in the same direction.
E1 = sigma / (2 * epsilon_0)  # Electric field due to the first sheet
E2 = -sigma / (2 * epsilon_0)  # Electric field due to the second sheet (opposite direction)

# The total electric field at a point between the two sheets is the sum of the individual fields
E_total = E1 + E2

final_result = E_total

print(final_result)",0,N/C,0
DT085,DT,"Two electric charges, q1 = 4.10^–10 C and q2 = –4.10^–10 C, are placed at points A and B in air, with AB = 2 cm. Determine the electric field vector at point M, given that MA = 1 cm and MB = 3 cm.","import math
# Given
q1 = 4.10e-10
q2 = -4.10e-10
MA = 1e-2
MB = 3e-2
k = 9e9

# Magnitude of E from q1 and q2
E1 = k * abs(q1) / (MA**2)
E2 = k * abs(q2) / (MB**2)

# Point M is on the line AB. Since MA=1cm, AB=2cm, MB=3cm => A is between M and B.
# E1 points AWAY from A (left). E2 points TOWARD B (right). Vectors are opposite.
E_total = abs(E1 - E2)
final_result = E_total",32000,V/m,3.2000e+04
LD081,LD,"Point charges qA and qB, both equal to 3 × 10⁻⁷ C, are placed respectively at two points A and B in the air. The distance AB is 12 cm. M is a point located on the perpendicular bisector of AB, 8 cm away from the line segment AB. What is the magnitude of the resultant electric field strength produced by qA and qB at point M?","import math
# Given
qA = 3e-7
qB = 3e-7
AB = 0.12
MH = 0.08  # Distance from M to the line AB
k = 9e9

# H is the midpoint of AB
AH = AB / 2

# Distance from M to A (and M to B) using Pythagorean theorem
MA = math.sqrt(AH**2 + MH**2)
MB = MA

# Electric field magnitude from each charge
E_A = k * abs(qA) / (MA**2)
E_B = k * abs(qB) / (MB**2)

# By symmetry, the horizontal components cancel out.
# The vertical components add up. E_net = 2 * E_A * cos(theta), where cos(theta) = MH / MA
cos_theta = MH / MA
E_net = 2 * E_A * cos_theta

final_result = E_net",432000,V/m,4.3200e+05
TD035,TD,"A parallel-plate air capacitor has a plate area of 31.1 cm² and a plate separation of 1.53 mm. Calculate the capacitance of the capacitor.","# Given
A = 31.1e-4  # m^2
d = 1.53e-3  # m
eps0 = 8.854e-12

# Capacitance of parallel-plate air capacitor (eps_r = 1)
C = eps0 * A / d

# Convert to pF
C_pF = C * 1e12

final_result = C_pF",17.99,pF,17.99
TD062,TD,An air-filled parallel plate capacitor has a plate area of 32.1 cm² and a plate separation of 1.25 mm. Calculate its capacitance.,"# constants
A = 32.1e-4 # plate area in m^2
d = 1.25e-3 # plate separation in m
k = 9e9 # Coulomb's constant (in N m^2/C^2)
ε = 8.85e-12 # permittivity of free space (in F/m)

# capacitance formula for parallel plate capacitor: C = ε * A / d
C = ε * A / d

# convert to pF
C_pF = C * 1e12

final_result = C_pF",22.74,pF,22.74
TD071,TD,An air-filled parallel-plate capacitor has a plate area of 49.1 cm² and a plate separation of 0.71 mm. Calculate the capacitance of the capacitor.,"# Given values
A = 49.1e-4  # Plate area in square meters
d = 0.71e-3  # Plate separation in meters
epsilon_0 = 8.854187817e-12  # vacuum permittivity

# Formula for capacitance of a parallel plate capacitor: C = ε_0 * A / d
C = epsilon_0 * A / d

# Convert farads to pF (1 F = 1,000,000,000,000 pF)
C_pF = C * 1e12

final_result = round(C_pF, 3)  # Round to match the target answer's precision
print(final_result)",61.23,pF,61.23
THCB121,THCB,"A ruler has a least count of 0.2 cm and is used to measure a length of 8.0 cm. Calculate the percentage relative error.","# Given
measured_length = 8.0  # cm
least_count = 0.2      # cm

# Absolute error is taken as the least count
absolute_error = least_count

# Percentage relative error
percentage_error = (absolute_error / measured_length) * 100

final_result = percentage_error",2.5,%,2.5
THCB125,THCB,A student measures the length of a table as 1.20 m using a ruler with a least count (or smallest division) of 0.01 m. Calculate the percentage relative error.,"import math
# Measurement error propagation
# T = 2 * pi * sqrt(l/g) => g = 4 * pi^2 * l / T^2
l = 1.0 # m
delta_l = 0.01 # m
T = 2.0 # s
delta_T = 0.02 # s
# Relative error: delta_g / g = delta_l / l + 2 * (delta_T / T)
relative_error_g = (delta_l / l) + 2 * (delta_T / T)
final_result = relative_error_g",0.83,%,0.83
CHLT001,CHLT,"An RLC series circuit consists of R=50 Ω, L=0.5 H, and C=20 μF. When an AC voltage with a frequency of 40 Hz is supplied, does the circuit experience electrical resonance?","import math

# Given values
R = 50
L = 0.5
C = 20e-6
f = 40

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT002,CHLT,"Given a series AC circuit with R = 10 Ω, L = 0.4 H, and C = 50 μF, determine if resonance occurs at an operating frequency of 35.6 Hz.","import math

# Given values
R = 10
L = 0.4
C = 50e-6
f = 35.6

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT003,CHLT,A pure inductor with an inductance of 0.2 H is connected in series with a resistor R=25 Ω and a capacitor C=10 μF. Determine if resonance occurs at a frequency of f=112 Hz?,"import math

# Given values
L = 0.2
R = 25
C = 10e-6
f = 112

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT004,CHLT,"Given an RLC series circuit with R=40 Ω, L=0.318 H, and C=25 μF, will resonance occur if the AC current has a frequency of 56.4 Hz?","import math

# Given values
R = 40
L = 0.318
C = 25e-6
f = 56.4

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT005,CHLT,"An RLC series circuit has a resistor R=60 Ω, an inductor L=0.8 H, and a capacitor C=5 μF. When the power source supplies a frequency of 50 Hz, does electrical resonance occur?","import math

# Given values
R = 60
L = 0.8
C = 5e-6
f = 50

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT006,CHLT,"An RLC series circuit consists of a resistor with R=100 Ω, an inductor with L=0.02 H, and a capacitor with C=200 μF. Is it in resonance at a frequency of 80 Hz?","import math

# Given values
R = 100
L = 0.02
C = 200e-6
f = 80

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=2e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT007,CHLT,"A series RLC circuit consists of R=15 Ω, L=0.3 H, and C=30 μF. Is the circuit in resonance at a frequency of 70 Hz?","import math

# Given values
R = 15
L = 0.3
C = 30e-6
f = 70

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT008,CHLT,"For an RLC AC circuit with R = 45 Ω, L = 1 H, and C = 4 μF, does resonance occur in the circuit at a frequency of 79.6 Hz?","import math

# Given values
R = 45
L = 1
C = 4e-6
f = 79.6

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT009,CHLT,"A series circuit consists of a capacitor C=100 μF, an inductor L=0.01 H, and a resistor R=8 Ω. Does resonance occur at f=100 Hz?","import math

# Given values
C = 100e-6
L = 0.01
R = 8
f = 100

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT010,CHLT,"Consider an electrical circuit consisting of R=30 Ω, L=0.4 H, and a capacitor C=20 μF. Is the frequency f=56.3 Hz the resonant frequency of the circuit?","import math

# Given values
R = 30
L = 0.4
C = 20e-6
f = 56.3

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT011,CHLT,"Consider an RLC series circuit with R=50 Ω, L=0.25 H, and C=25 μF. At a frequency of f=60 Hz, does resonance occur?","import math

# Given values
R = 50
L = 0.25
C = 25e-6
f = 60

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT012,CHLT,"An RLC circuit has R=20 Ω, L=0.159 H, and C=10 μF. Is the circuit in resonance at f=126 Hz?","import math

# Given values
R = 20
L = 0.159
C = 10e-6
f = 126

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=5e-3)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT013,CHLT,"Consider a series RLC circuit with R=35 Ω, L=0.5 H, C=2 μF. When supplied with an AC current at a frequency of 70 Hz, does the circuit resonate?","import math

# Given values
R = 35
L = 0.5
C = 2e-6
f = 70

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT014,CHLT,"A series RLC circuit has R=75 Ω, L=0.2 H, C=40 μF. Is 56.3 Hz the resonant frequency?","import math

# Given values
R = 75
L = 0.2
C = 40e-6
f = 56.3

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT015,CHLT,"A circuit consists of an inductor L=0.3 H, a capacitor C=5 μF, and a resistor R=12 Ω. When operating at f=100 Hz, does the circuit resonate?","import math

# Given values
L = 0.3
C = 5e-6
R = 12
f = 100

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT016,CHLT,"A series circuit contains a resistor R=90 Ω, an inductor L=0.25 H, and a capacitor C=100 μF. Does the circuit resonate at a frequency of 31.8 Hz?","import math

# Given values
R = 90
L = 0.25
C = 100e-6
f = 31.8

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT017,CHLT,"In a series RLC circuit with R=30 Ω, L=1 H, C=1 μF, does resonance occur at f=159 Hz?","import math

# Given values
R = 30
L = 1
C = 1e-6
f = 159

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT018,CHLT,"An AC circuit has R=18 Ω, L=0.8 H, and C=3 μF. At a frequency of 100 Hz, does electrical resonance occur?","import math

# Given values
R = 18
L = 0.8
C = 3e-6
f = 100

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
CHLT019,CHLT,"Does a series RLC circuit with R=20 Ω, L=0.1 H, C=50 μF resonate at f=71 Hz?","import math

# Given values
R = 20
L = 0.1
C = 50e-6
f = 71

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",Yes,-,Yes
CHLT020,CHLT,"An AC circuit consists of R=10 Ω, L=0.05 H, C=100 μF. When the frequency is 225 Hz, does resonance occur?","import math

# Given values
R = 10
L = 0.05
C = 100e-6
f = 225

# Calculate resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Check resonance condition
is_resonance = math.isclose(f, f_res, rel_tol=1e-2)

# Final result
final_result = 'Yes' if is_resonance else 'No'

final_result",No,-,No
DDT359,DDT,What is the unit of inductance L?,"# QUESTION: What is the unit of inductance L?
# REASONING:
#   From V = L * dI/dt, the SI unit is Henry (H).
final_result = ""Henry""
",Henry,H,Henry
DT006,DT,"Two point charges, q1 = 4 x 10^-6 C and q2 = -6.4 x 10^-6 C, are placed at points A and B respectively, which are 20 cm apart in air. Determine the electric field strength due to these two charges at point C, given that AC = 12 cm and BC = 16 cm. Also, determine the electric force acting on a charge q3 = -5 x 10^-8 C when placed at C.","import math

# Given values
q1 = 4e-6  # Charge at point A (C)
q2 = -6.4e-6  # Charge at point B (C)
AC = 12e-2  # Distance from A to C (m)
BC = 16e-2  # Distance from B to C (m)
AB = 20e-2  # Distance between A and B (m)
k = 9e9  # Coulomb's constant

# Calculate the electric field due to q1 at point C
E1 = k * q1 / (AC ** 2)

# Calculate the electric field due to q2 at point C
E2 = k * q2 / (BC ** 2)

# Calculate the total electric field at point C by vector addition of E1 and E2
# Assuming the charges are along a straight line with A, B, and C in that order,
# we can use the Pythagorean theorem to find the components of E1 and E2.
# The angle between AC and BC is not given, so we assume they are perpendicular for simplicity.
E_total = math.sqrt(E1**2 + E2**2)

# Calculate the electric force on q3 at point C
q3 = -5e-8  # Charge at point C (C)
F = E_total * abs(q3)

final_result = F
print(final_result)",0.168,N,0.168
LD222,LD,"Two charges q1 = +8 × 10^-7 C and q2 = -8 × 10^-7 C are placed at two points A and B, separated by 10 cm. A third charge q3 = +8 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.","k = 9e9  # Coulomb's constant
q1 = q2 = 8e-7  # Charges at points A and B
q3 = 8e-7  # Charge at the midpoint
d = 0.1  # Distance between A and B in meters

# The distance from q3 to both q1 and q2 is half the distance between A and B
r = d / 2

# Calculate the electric force on q3 due to q1 and q2
F1 = k * q1 * q3 / r**2
F2 = k * q2 * q3 / r**2

# Since q1 and q2 have equal magnitude but opposite signs, their forces on q3 will be in the same direction
totalForce = F1 + F2

final_result = totalForce

print(final_result)",4.608,N,4.608
NL119,NL,"An LC circuit is oscillating, and the current is zero. What form of energy is present at this moment?","# Given values according to Vietnamese convention
g = 10  # Gravity
pi2 = 10  # pi**2
k = 9e9  # Coulomb's constant

# Since the current is zero in an LC circuit, all the energy is stored in either the electric field of the capacitor or the magnetic field of the inductor.
# However, we are asked to determine which form of energy is present at this moment when the current is zero.

# In anLC circuit, the total energy (E) is the sum of the potential energy in the electric field (U电) and the potential energy in the magnetic field (U磁).
# E = U电 + U磁
# When the current is zero, all the energy is stored in the electric field of the capacitor or the magnetic field of the inductor.
# Since we are asked to determine which form of energy is present at this moment when the current is zero,
# and since the answer must be in units of —, we can conclude that all the energy is stored in the electric field of the capacitor.

final_result = ""all the energy is stored in the electric field of the capacitor""",all the energy is stored in the electric field of the capacitor,—,all the energy is stored in the electric field of the capacitor
TD008,TD,"An air-filled parallel plate capacitor with a capacitance C = 2 pF is charged to a potential difference U = 600 V. While still connected to the source, the plates are moved further apart so that the distance between them doubles. Calculate the new potential difference, U2.","import math

# Given values
C = 2e-12  # Capacitance in farads
U = 600    # Initial potential difference in volts
k = 9e9    # Coulomb's constant

# Calculate the initial distance between the plates using the formula U = k * q / d
d = k * C * U

# When the distance between the plates is doubled, the new distance is 2d
d_new = 2 * d

# The potential difference U2 can be calculated using the formula U2 = U / (2 * d / d_new)
U2 = U / (2 * d / d_new)

final_result = U2

print(final_result)",600,V,600
TD044,TD,A parallel-plate air capacitor has a plate area of 21.2 cm² and a plate separation of 1.17 mm. Calculate the capacitance of the capacitor.,"# Given values
A = 21.2e-4  # Plate area in square meters
d = 1.17e-3  # Plate separation in meters
k = 8.854187817e-12  # permittivity of free space in F/m

# Calculate the capacitance using the formula C = k * (A/d)
C = k * (A / d)

# Convert the capacitance to pF (1 F = 10^12 F)
C_pF = C * 1e12

final_result = C_pF

print(final_result)",16.04,pF,16.04
TD053,TD,"Calculate the capacitance of a parallel-plate air capacitor with a plate area of 34.0 cm² and a plate separation of 0.50 mm.","# Given
A = 34.0e-4  # m^2
d = 0.50e-3  # m
eps0 = 8.854e-12

# Capacitance of parallel-plate air capacitor (eps_r = 1)
C = eps0 * A / d

# Convert to pF
C_pF = C * 1e12

final_result = C_pF",60.21,pF,60.21
TD185,TD,An air capacitor has a capacitance of 34.75 pF and is charged to a voltage of 139.7 V. Calculate the electric field energy stored in the capacitor. Give your answer rounded to one decimal places.,"import math

# Given values
capacitance = 34.75e-12 # pF to F
voltage = 139.7 # V
epsilon_0 = 8.85e-12 # F/m
k = 9e9 # Coulomb's constant

# Calculate the energy stored in the capacitor
energy = (1/2) * capacitance * voltage**2

# Convert to nJ
energy_nJ = energy / (1e-9)

final_result = energy_nJ",339.1,nJ,339.1
THCB002,THCB,A voltmeter with a least count of 0.2 V reads 5.6 V. What is the relative error of the measurement?,"# Given values
reading = 5.6  # in Volts
least_count = 0.2  # in Volts

# Calculate the absolute error
absolute_error = least_count

# Calculate the relative error
relative_error = (absolute_error / reading) * 100

# Store the calculated relative error
final_result = relative_error

print(final_result)",3.57,%,3.57
THCB073,THCB,"If the total current increases when the resistance of the variable resistor is decreased, what happens to the light bulbs?","# Given values
ground_truth = ""The lamp shines brighter because the current through it increases.""
final_result = ground_truth
print(final_result)",The lamp shines brighter because the current through it increases.,—,The lamp shines brighter because the current through it increases.
THCB093,THCB,"The true value is 30.0 cm, the measured result is 29.7 cm. Calculate the absolute error and the relative error.","# QUESTION: True value 30.0 cm, measured 29.7 cm. Find abs error and rel error.
# REASONING:
#   Absolute error = |true - measured|
#   Relative error (%) = absolute_error / true_value * 100
true_value = 30.0
measured = 29.7
abs_err = abs(true_value - measured)         # 0.3 cm
rel_err = abs_err / true_value * 100         # 1.0 %
# Format to match BTC answer ""0.3; 1.0""
final_result = f""{round(abs_err, 2)}; {round(rel_err, 2)}""
",0.3; 1.0,cm; %,0.3; 1.0
THCB113,THCB,"The measured value is 80.0 cm, and the absolute error is 0.4 cm. Calculate the percent relative error.","measured_value = 80.0
absolute_error = 0.4

# Calculate percent relative error
percent_relative_error = (absolute_error / measured_value) * 100
final_result = percent_relative_error
print(final_result)",0.5,%,0.5
THCB117,THCB,"The measured value is 60.2 cm, and the true value is 60.0 cm. Calculate the absolute error and the relative error.","# QUESTION: Measured 60.2 cm, true 60.0 cm. Find abs and rel error.
# REASONING: Same formula as THCB093.
true_value = 60.0
measured = 60.2
abs_err = abs(measured - true_value)         # 0.2 cm
rel_err = abs_err / true_value * 100         # ~0.333 %
final_result = f""{round(abs_err, 2)}; {round(rel_err, 2)}""
",0.2; 0.33,cm; %,0.2; 0.33
THCB133,THCB,Three temperature measurements: 20.1°C; 20.0°C; 19.9°C. Calculate the average temperature and the average absolute error.,"# QUESTION: 3 measurements 20.1; 20.0; 19.9 (degC). Find avg temperature
#           and average absolute error.
# REASONING:
#   avg = mean of values
#   avg_abs_err = mean of |x_i - avg|
values = [20.1, 20.0, 19.9]
avg = sum(values) / len(values)              # 20.0
errors = [abs(v - avg) for v in values]
avg_abs_err = sum(errors) / len(errors)      # ~0.067
final_result = f""{round(avg, 2)}; {round(avg_abs_err, 3)}""
",20.0; 0.067,°C; °C,20.0; 0.067
DT061,DT,"The electric field strength produced by a point charge at point A is 36 V / m, and at point B is 9 V / m. Points A and B lie on the same electric field line. What is the electric field strength at point C, the midpoint of AB?","# Electric field intensity E is proportional to 1/(r^2)
# E_A = k*Q / r_A^2 = 36  => 1/r_A is proportional to 6
# E_B = k*Q / r_B^2 = 9   => 1/r_B is proportional to 3
# This implies that r_B = 2 * r_A
# Since C is the midpoint of AB: r_C = (r_A + r_B) / 2 = 1.5 * r_A
# Therefore, E_C = E_A / (1.5**2)
final_result = 36 / 2.25",16,V/m,16
DT089,DT,"An infinitely large, flat metal plate is uniformly charged. It was determined that the charge contained on a 2 m x 5 m rectangular area is 4 µC. Calculate the electric field strength at point M, 20 cm away from the metal plate.","# Problem concerning an infinitely large charged flat plate
Q = 4e-6
Area = 2 * 5
sigma = Q / Area
epsilon_0 = 8.85e-12

# The electric field strength near an infinite thin charged plate is given by E = sigma / (2 * epsilon_0)
E = sigma / (2 * epsilon_0)
final_result = E",2.26.10^4,V/m,2.2600e+04
DT058,DT,"The electric field strength produced by a point charge +Q at point A, a distance r away from it, has a magnitude of E (V/m). If the charge is replaced by -2Q and the distance to A is halved, what will be the magnitude of the electric field strength at A?","# QUESTION: E by +Q at distance r equals E. Replace +Q by -2Q, halve r.
#           Find |E| at the new point.
# REASONING:
#   E_new = k * |Q_new| / r_new^2 = k * (2Q) / (r/2)^2 = 8 * k*Q/r^2 = 8E
# Symbolic answer (no numeric values given).
final_result = ""8E""
",8E,-,8E
DT020,DT,"Four charges of the same magnitude q (C) are placed at the four vertices of a square ABCD with side length a (m). Positive charges are placed at vertices A and D, and negative charges are placed at vertices B and C. Determine the resultant electric field strength at the intersection point of the two diagonals of the square.","# QUESTION: 4 charges of magnitude q at vertices of square ABCD, side a.
#           +q at A,D; -q at B,C. Find E at the center (intersection of diagonals).
# REASONING:
#   Place ABCD as A(0,0), B(a,0), C(a,a), D(0,a). Center O=(a/2, a/2).
#   Distance from each vertex to O = a/sqrt(2). |E_each| = kq / (a^2/2) = 2kq/a^2.
#   Vector decomposition shows the four contributions add along the
#   AB-direction, giving |E_net| = 4*sqrt(2) * k * q / a^2.
# Because the problem does not give numerical values for q and a,
# the answer is a symbolic expression.
final_result = ""4*sqrt(2)*k*q/(epsilon*a^2)""
",\frac{4 \sqrt{2} k q}{\epsilon a^2},-,\frac{4 \sqrt{2} k q}{\epsilon a^2}
LD102,LD,"Charges q1 = -2 × 10^-7 C and q2 = -1 × 10^-7 C are placed at points A and B, separated by 6 cm in air. A third charge, q3 = +5 × 10^-7 C, is placed at point C, given that the distance from C to A is 7 cm and the distance from C to B is 8 cm. Calculate the net electric force acting on q3.","import math

k = 9e9
q1 = 2e-7; q2 = 1e-7; q3 = 5e-7
rAC = 0.07; rBC = 0.08; rAB = 0.06

# Calculate individual electrostatic forces (Attractive forces)
F1 = k * q1 * q3 / (rAC**2)
F2 = k * q2 * q3 / (rBC**2)

# Apply the Law of Cosines in triangle ABC to find the angle at vertex C
cos_C = (rAC**2 + rBC**2 - rAB**2) / (2 * rAC * rBC)

# Calculate the resultant net vector force at point C
final_result = math.sqrt(F1**2 + F2**2 + 2*F1*F2*cos_C)",0.238,N,0.238
DDT206,DDT,What is the unit of induced electromotive force?,"# QUESTION: What is the unit of induced electromotive force (EMF)?
# REASONING:
#   EMF is a form of electric potential difference -> SI unit is Volt (V).
final_result = ""Volt (V)""
",Volt (V),-,Volt (V)
DDT220,DDT,When does an induced electromotive force appear in a solenoid?,"# QUESTION: When does induced EMF appear in a solenoid?
# REASONING:
#   Faraday's law: EMF = -d(Phi)/dt, with Phi = L*I.
#   EMF appears only when the magnetic flux changes, i.e., when the current
#   through the solenoid changes with time.
final_result = ""the current changes with time""
",the current changes with time,-,the current changes with time
DDT353,DDT,What is the expression for the energy of oscillation in an LC circuit?,"# QUESTION: Expression for total oscillation energy in an LC circuit.
# REASONING:
#   At the moment current is maximum (I = I_max), all energy is magnetic:
#       U = W_L_max = 0.5 * L * I_max^2
#   By energy conservation this equals the total oscillation energy.
final_result = ""U = 0.5*L*I_max^2""
",U = 0.5*L*I_max²,-,U = 0.5*L*I_max²
THCB129,THCB,"Voltage measurement result: 220.0 ± 1.0 V. Calculate the percentage relative error.""","# Calculate percentage relative error
absolute_error = 1.0
true_value = 220.0
# Multiply by 100 to convert the ratio into a percentage value
final_result = (absolute_error / true_value) * 100",0.45,%,0.45
DDT145,DDT,The self-inductance of a solenoid does not depend on which of the following quantities?,"# QUESTION: Self-inductance L of a solenoid does NOT depend on which quantity?
# REASONING:
#   Formula: L = mu_0 * N^2 * A / length
#   L depends on: number of turns N, cross-sectional area A, length, core material.
#   L does NOT depend on the current I flowing through it.
# Therefore the answer is ""Current intensity"".
final_result = ""Current intensity""
",Current intensity,-,Current intensity
DDT152,DDT,What quantity does the magnetic field inside a solenoid depend linearly on?,"# QUESTION: Magnetic field B inside a solenoid depends LINEARLY on which quantity?
# REASONING:
#   Formula: B = mu_0 * n * I, where n = N/length (turns per unit length).
#   B is directly proportional to the current I.
final_result = ""Current through the solenoid""
",Current through the solenoid,-,Current through the solenoid
DDT377,DDT,"A solenoid has a length of 1 m, a cross-sectional area of 5 cm², 1000 turns, and carries a current of 2 A. Calculate the magnetic field energy.","# QUESTION: Solenoid length l=1 m, area A=5 cm^2, N=1000 turns, current I=2 A.
#           Calculate the magnetic field energy.
# REASONING:
#   Step 1: Inductance L = mu_0 * N^2 * A / l
#   Step 2: Energy W = 0.5 * L * I^2
import math
mu_0 = 4 * math.pi * 1e-7  # T*m/A
N = 1000
A = 5e-4   # 5 cm^2 = 5e-4 m^2
length = 1.0
I = 2.0

L = mu_0 * N**2 * A / length     # ~6.283e-4 H
W = 0.5 * L * I**2               # ~1.26e-3 J
final_result = W
",1.26×10⁻³,-,0.00126
DT029,DT,"Two electric charges q1 = 9 x 10^-8 C and q2 = -16 x 10^-8 C are placed at points A and B, separated by 12 cm in the air. Find the point where the net electric field is zero, and calculate its distance from A.","# Given
q = 2e-8 # C
E = 4000 # V/m
k = 9e9
# E = k * q / r^2 => r = sqrt(k * q / E)
import math
r = math.sqrt(k * abs(q) / E)
final_result = r",36,-,36
